# Timepoint	 Detector Signal	 Error
0.801	8.471212	0.582107
0.811	8.045117	0.567278
0.821	8.019732	0.566383
0.831	7.824057	0.559430
0.841	7.791227	0.558255
0.851	8.056847	0.567692
0.861	7.845968	0.560213
0.871	8.357759	0.578196
0.881	8.180747	0.572040
0.891	7.813460	0.559051
0.901	8.165274	0.571499
0.911	7.794188	0.558361
0.921	7.482361	0.547078
0.931	7.410239	0.544435
0.941	7.763441	0.557259
0.951	7.769250	0.557467
0.961	7.270386	0.539273
0.971	7.650858	0.553204
0.981	7.548299	0.549483
0.991	7.306409	0.540607
1.001	7.310163	0.540746
1.011	7.151404	0.534842
1.021	7.199706	0.536645
1.031	7.556503	0.549782
1.041	7.358839	0.542544
1.051	7.226556	0.537645
1.061	7.162036	0.535240
1.071	7.364463	0.542751
1.081	7.194544	0.536453
1.091	7.702771	0.555077
1.101	7.099667	0.532904
1.111	7.252369	0.538604
1.121	7.600029	0.551363
1.131	7.444981	0.545710
1.141	7.173543	0.535669
1.151	7.132053	0.534118
1.161	6.999620	0.529136
1.171	7.189113	0.536250
1.181	7.018710	0.529857
1.191	6.844054	0.523223
1.201	7.370252	0.542964
1.211	7.390864	0.543723
1.221	7.309430	0.540719
1.231	7.180508	0.535929
1.241	7.712674	0.555434
1.251	7.244992	0.538330
1.261	6.958391	0.527575
1.271	7.346311	0.542082
1.281	6.876912	0.524477
1.291	7.402839	0.544163
1.301	6.953072	0.527374
1.311	7.401819	0.544126
1.321	6.753857	0.519764
1.331	7.080906	0.532199
1.341	6.852258	0.523536
1.351	6.815608	0.522134
1.361	7.099649	0.532903
1.371	6.713277	0.518200
1.381	7.386641	0.543568
1.391	6.365545	0.504601
1.401	7.222734	0.537503
1.411	6.339117	0.503552
1.421	6.672510	0.516624
1.431	6.829972	0.522684
1.441	6.521574	0.510747
1.451	6.416440	0.506614
1.461	6.754723	0.519797
1.471	6.013990	0.490469
1.481	6.228844	0.499153
1.491	6.338516	0.503528
1.502	6.188854	0.497548
1.512	6.036921	0.491403
1.522	6.102980	0.494084
1.532	6.123164	0.494901
1.542	6.244983	0.499799
1.552	5.871188	0.484611
1.562	5.653869	0.475557
1.572	5.809874	0.482074
1.582	5.873890	0.484722
1.592	5.509626	0.469452
1.602	5.685635	0.476891
1.612	5.357029	0.462905
1.622	5.266300	0.458968
1.632	5.763282	0.480137
1.642	5.185579	0.455437
1.652	5.082819	0.450902
1.662	5.251610	0.458328
1.672	5.445461	0.466710
1.682	5.459005	0.467290
1.692	4.933455	0.444228
1.702	5.633480	0.474699
1.712	5.147114	0.453745
1.722	5.012762	0.447784
1.732	5.177440	0.455080
1.742	5.237687	0.457720
1.752	5.122021	0.452638
1.762	5.028738	0.448497
1.772	5.194110	0.455812
1.782	5.393087	0.464460
1.792	5.170106	0.454757
1.802	5.005156	0.447444
1.812	5.072296	0.450435
1.822	5.296666	0.460290
1.832	4.718814	0.434457
1.842	4.842117	0.440096
1.852	4.831917	0.439632
1.862	5.984967	0.489284
1.872	4.832860	0.439675
1.882	4.908767	0.443115
1.892	5.281855	0.459646
1.902	5.400062	0.464761
1.912	5.221786	0.457025
1.922	4.966486	0.445712
1.932	4.733023	0.435110
1.942	5.459386	0.467307
1.952	5.146990	0.453740
1.962	5.392748	0.464446
1.972	5.120947	0.452590
1.982	4.461130	0.422428
1.992	5.434531	0.466242
2.002	5.573329	0.472158
2.012	4.889301	0.442235
2.022	5.190696	0.455662
2.032	4.909776	0.443160
2.042	5.277213	0.459444
2.052	5.048633	0.449383
2.062	4.844388	0.440199
2.072	4.741423	0.435496
2.082	4.708681	0.433990
2.092	5.060116	0.449894
2.102	4.762185	0.436449
2.112	4.652716	0.431403
2.122	4.422927	0.420615
2.132	4.579508	0.427996
2.142	4.371979	0.418186
2.152	4.181039	0.408952
2.162	4.483997	0.423509
2.172	4.441672	0.421506
2.182	4.637766	0.430709
2.192	4.792420	0.437832
2.202	4.272457	0.413398
2.212	3.929438	0.396456
2.222	4.123650	0.406135
2.232	4.817599	0.438981
2.242	4.025898	0.401293
2.252	4.089164	0.404434
2.262	3.763536	0.387997
2.272	3.549665	0.376811
2.282	4.057132	0.402846
2.292	3.885039	0.394210
2.302	3.610485	0.380026
2.312	3.868869	0.393389
2.322	3.730845	0.386308
2.332	3.683171	0.383832
2.342	3.967661	0.398380
2.352	3.785940	0.389150
2.362	3.878711	0.393889
2.372	4.065487	0.403261
2.382	3.835481	0.391688
2.392	3.730718	0.386301
2.402	3.640730	0.381614
2.412	3.571438	0.377965
2.422	3.599401	0.379442
2.432	3.707527	0.385099
2.442	3.864030	0.393143
2.452	3.650136	0.382107
2.462	3.914011	0.395677
2.472	3.734574	0.386501
2.482	3.990239	0.399512
2.492	4.302434	0.414846
2.503	4.290815	0.414286
2.513	3.933985	0.396685
2.523	4.925962	0.443890
2.533	4.291148	0.414302
2.543	4.047414	0.402364
2.553	4.021228	0.401060
2.563	4.049264	0.402456
2.573	4.042793	0.402134
2.583	4.778639	0.437202
2.593	4.231106	0.411393
2.603	4.578709	0.427958
2.613	4.615725	0.429685
2.623	4.286874	0.414095
2.633	4.037782	0.401885
2.643	4.838322	0.439924
2.653	4.261905	0.412888
2.663	4.400412	0.419543
2.673	4.560252	0.427095
2.683	4.582684	0.428144
2.693	4.504608	0.424481
2.703	4.536653	0.425988
2.713	4.423214	0.420629
2.723	4.439227	0.421389
2.733	5.266152	0.458962
2.743	4.122513	0.406079
2.753	4.130911	0.406493
2.763	4.322942	0.415834
2.773	4.666982	0.432064
2.783	4.528577	0.425609
2.793	3.894087	0.394669
2.803	4.213519	0.410537
2.813	4.184167	0.409105
2.823	3.778150	0.388749
2.833	3.787430	0.389226
2.843	3.859775	0.392926
2.853	4.008062	0.400403
2.863	3.985270	0.399263
2.873	3.921810	0.396071
2.883	3.918316	0.395895
2.893	3.871745	0.393535
2.903	4.155934	0.407722
2.913	4.041631	0.402076
2.923	3.506204	0.374497
2.933	3.920292	0.395995
2.943	3.772413	0.388454
2.953	3.543231	0.376469
2.963	3.468521	0.372479
2.973	3.919757	0.395968
2.983	3.674637	0.383387
2.993	3.748927	0.387243
3.003	4.416942	0.420330
3.013	3.299928	0.363314
3.023	3.173591	0.356292
3.033	3.795265	0.389629
3.043	3.516728	0.375059
3.053	3.557322	0.377217
3.063	3.632590	0.381187
3.073	3.559672	0.377342
3.083	3.598564	0.379398
3.093	3.903395	0.395140
3.103	3.432231	0.370526
3.113	3.390752	0.368280
3.123	3.546152	0.376625
3.133	4.216043	0.410660
3.143	3.702823	0.384854
3.153	3.665298	0.382899
3.163	3.830177	0.391417
3.173	3.591868	0.379044
3.183	3.637222	0.381430
3.193	3.840411	0.391939
3.203	3.575553	0.378183
3.213	4.257210	0.412660
3.223	3.689914	0.384183
3.233	3.583718	0.378614
3.243	4.699094	0.433548
3.253	3.478900	0.373036
3.263	3.467791	0.372440
3.273	4.056579	0.402819
3.283	4.236851	0.411672
3.293	3.868296	0.393360
3.303	3.741131	0.386840
3.313	4.674059	0.432391
3.323	3.915512	0.395753
3.333	4.010670	0.400533
3.343	3.580244	0.378431
3.353	4.236589	0.411660
3.363	3.749314	0.387263
3.373	4.004911	0.400245
3.383	3.755341	0.387574
3.393	3.316020	0.364199
3.403	3.871197	0.393507
3.413	3.764852	0.388065
3.423	3.734706	0.386508
3.433	3.575485	0.378179
3.443	3.244606	0.360256
3.453	3.080046	0.351001
3.463	3.523309	0.375410
3.473	3.393652	0.368437
3.483	3.377854	0.367579
3.493	3.083117	0.351176
3.504	3.017703	0.347431
3.514	3.071167	0.350495
3.524	2.723162	0.330040
3.534	3.247300	0.360405
3.544	3.193579	0.357412
3.554	2.857973	0.338111
3.564	2.587326	0.321703
3.574	2.913447	0.341376
3.584	2.725716	0.330195
3.594	3.094982	0.351851
3.604	3.119427	0.353238
3.614	2.484829	0.315267
3.624	2.913884	0.341402
3.634	2.722714	0.330013
3.644	2.259152	0.300610
3.654	2.347308	0.306419
3.664	2.473363	0.314539
3.674	2.626609	0.324136
3.684	2.938830	0.342860
3.694	2.377155	0.308361
3.704	3.035431	0.348450
3.714	2.802085	0.334789
3.724	2.237376	0.299157
3.734	2.558336	0.319896
3.744	2.493953	0.315845
3.754	2.448373	0.312946
3.764	2.170661	0.294663
3.774	2.298039	0.303186
3.784	2.774215	0.333120
3.794	2.401690	0.309948
3.804	2.448417	0.312948
3.814	2.376312	0.308306
3.824	2.389878	0.309185
3.834	2.634515	0.324624
3.844	2.819087	0.335803
3.854	2.599403	0.322453
3.864	2.633413	0.324556
3.874	2.917874	0.341636
3.884	2.782705	0.333629
3.894	2.788324	0.333966
3.904	2.563490	0.320218
3.914	2.325950	0.305021
3.924	2.465689	0.314050
3.934	2.503243	0.316433
3.944	2.798474	0.334573
3.954	2.841630	0.337143
3.964	2.369404	0.307857
3.974	2.616723	0.323526
3.984	2.376918	0.308345
3.994	2.657467	0.326035
4.004	2.364491	0.307538
4.014	2.446832	0.312847
4.024	2.609048	0.323051
4.034	3.459157	0.371976
4.044	3.174224	0.356327
4.054	2.523999	0.317742
4.064	2.437493	0.312249
4.074	2.141276	0.292662
4.084	2.203985	0.296917
4.094	2.354504	0.306888
4.104	2.787308	0.333905
4.114	2.277417	0.301822
4.124	2.002899	0.283048
4.134	2.161579	0.294046
4.144	2.281804	0.302113
4.154	2.374640	0.308197
4.164	2.630235	0.324360
4.174	1.974417	0.281028
4.184	1.998982	0.282771
4.194	2.102840	0.290023
4.204	2.245482	0.299699
4.214	2.396599	0.309619
4.224	1.892116	0.275108
4.234	1.750132	0.264585
4.244	1.681358	0.259334
4.254	1.876645	0.273981
4.264	1.940811	0.278626
4.274	2.121833	0.291330
4.284	1.675840	0.258908
4.294	1.494013	0.244460
4.304	1.964407	0.280315
4.314	2.489744	0.315578
4.324	2.153825	0.293518
4.334	1.915634	0.276813
4.344	1.843298	0.271536
4.354	1.858870	0.272681
4.364	2.031209	0.285041
4.374	1.425932	0.238825
4.384	1.885416	0.274621
4.394	1.688122	0.259856
4.404	1.709899	0.261526
4.414	2.231966	0.298795
4.424	1.979975	0.281423
4.434	2.480185	0.314972
4.444	2.504691	0.316524
4.454	2.046646	0.286122
4.464	2.319070	0.304570
4.474	1.660922	0.257754
4.484	3.130842	0.353884
4.494	2.489272	0.315549
4.505	2.619652	0.323707
4.515	2.330803	0.305339
4.525	2.629454	0.324312
4.535	2.714957	0.329543
4.545	2.816426	0.335644
4.555	2.511915	0.316980
4.565	2.353852	0.306845
4.575	2.435216	0.312104
4.585	2.636841	0.324767
4.595	2.321984	0.304761
4.605	2.585946	0.321618
4.615	3.145448	0.354708
4.625	2.566246	0.320390
4.635	3.081737	0.351098
4.645	2.990882	0.345883
4.655	3.049754	0.349271
4.665	2.371115	0.307969
4.675	2.241166	0.299410
4.685	3.251446	0.360635
4.695	3.066971	0.350255
4.705	2.624776	0.324023
4.715	2.789744	0.334051
4.725	2.437937	0.312278
4.735	2.628233	0.324236
4.745	2.933388	0.342543
4.755	2.924222	0.342007
4.765	2.393797	0.309438
4.775	2.719916	0.329843
4.785	2.984577	0.345519
4.795	2.885147	0.339714
4.805	2.646386	0.325354
4.815	2.455865	0.313424
4.825	2.891979	0.340116
4.835	2.598036	0.322369
4.845	2.453756	0.313289
4.855	1.884423	0.274549
4.865	1.986362	0.281877
4.875	2.020520	0.284290
4.885	2.584633	0.321536
4.895	2.846021	0.337403
4.905	2.082778	0.288637
4.915	2.420305	0.311147
4.925	2.055670	0.286752
4.935	2.125115	0.291555
4.945	2.705721	0.328982
4.955	2.301145	0.303391
4.965	2.024182	0.284548
4.975	2.156592	0.293707
4.985	2.134270	0.292183
4.995	2.460194	0.313700
5.005	2.559895	0.319993
5.015	2.325171	0.304970
5.025	2.266796	0.301118
5.035	2.374298	0.308175
5.045	2.670490	0.326833
5.055	2.597784	0.322353
5.065	2.398593	0.309748
5.075	2.782752	0.333632
5.085	2.120040	0.291207
5.095	2.512594	0.317023
5.105	2.384834	0.308858
5.115	2.634556	0.324626
5.125	2.691247	0.328100
5.135	2.350612	0.306634
5.145	2.631804	0.324457
5.155	2.315852	0.304358
5.165	2.168831	0.294539
5.175	2.661408	0.326276
5.185	2.480650	0.315002
5.195	3.507802	0.374583
5.205	2.575140	0.320945
5.215	2.475328	0.314663
5.225	2.310872	0.304031
5.235	2.800937	0.334720
5.245	2.617476	0.323572
5.255	2.494279	0.315866
5.265	2.123769	0.291463
5.275	2.483759	0.315199
5.285	2.462702	0.313860
5.295	2.781447	0.333553
5.305	3.237570	0.359865
5.315	3.174003	0.356315
5.325	2.646498	0.325361
5.335	2.365884	0.307629
5.345	2.797925	0.334540
5.355	2.387908	0.309057
5.365	2.613736	0.323341
5.375	2.232813	0.298852
5.385	2.827331	0.336293
5.395	2.462602	0.313854
5.405	2.365803	0.307623
5.415	2.586180	0.321632
5.425	2.532619	0.318284
5.435	2.361636	0.307352
5.445	2.172680	0.294800
5.455	2.646961	0.325390
5.465	1.722664	0.262501
5.475	2.392843	0.309376
5.485	2.041612	0.285770
5.495	2.188862	0.295896
5.506	2.452374	0.313201
5.516	2.661504	0.326282
5.526	1.727643	0.262880
5.536	1.970161	0.280725
5.546	2.062454	0.287225
5.556	1.518824	0.246481
5.566	1.830203	0.270570
5.576	1.838502	0.271183
5.586	1.852293	0.272198
5.596	1.707309	0.261328
5.606	2.099365	0.289784
5.616	1.505249	0.245377
5.626	1.344108	0.231871
5.636	1.747676	0.264399
5.646	1.920795	0.277186
5.656	1.421246	0.238432
5.666	1.334292	0.231023
5.676	1.694542	0.260349
5.686	1.475998	0.242981
5.696	1.767751	0.265914
5.706	1.327163	0.230405
5.716	1.929028	0.277779
5.726	1.503811	0.245260
5.736	0.985431	0.198538
5.746	2.034522	0.285273
5.756	1.746376	0.264301
5.766	0.876931	0.187289
5.776	1.850435	0.272061
5.786	1.618592	0.254448
5.796	1.563026	0.250042
5.806	2.077339	0.288260
5.816	2.091255	0.289223
5.826	1.783920	0.267127
5.836	1.737391	0.263620
5.846	1.828064	0.270412
5.856	1.919081	0.277062
5.866	1.485595	0.243770
5.876	1.519775	0.246558
5.886	1.380212	0.234965
5.896	1.908902	0.276326
5.906	1.903670	0.275947
5.916	1.352021	0.232553
5.926	1.773907	0.266376
5.936	1.477511	0.243106
5.946	2.059252	0.287002
5.956	2.022531	0.284431
5.966	1.753758	0.264859
5.976	1.813815	0.269356
5.986	2.153320	0.293484
5.996	1.698960	0.260688
6.006	2.318004	0.304500
6.016	2.016032	0.283974
6.026	1.553691	0.249294
6.036	1.855746	0.272452
6.046	1.765860	0.265771
6.056	1.635492	0.255773
6.066	1.959201	0.279943
6.076	1.355605	0.232861
6.086	1.625379	0.254981
6.096	2.122910	0.291404
6.106	1.581150	0.251488
6.116	1.083758	0.208207
6.126	1.326580	0.230354
6.136	1.932798	0.278050
6.146	1.603878	0.253289
6.156	1.554063	0.249324
6.166	1.489509	0.244091
6.176	2.313013	0.304172
6.186	1.002134	0.200213
6.196	1.201945	0.219266
6.206	1.435114	0.239593
6.216	1.229009	0.221721
6.226	1.561361	0.249909
6.236	1.464734	0.242052
6.246	1.210260	0.220024
6.256	1.235488	0.222305
6.266	1.029530	0.202932
6.276	1.060903	0.206000
6.286	1.737401	0.263621
6.296	1.025030	0.202487
6.306	1.375689	0.234580
6.316	1.152782	0.214735
6.326	1.098437	0.209613
6.336	1.092902	0.209084
6.346	1.353158	0.232651
6.356	1.044808	0.204432
6.366	1.399966	0.236640
6.376	1.708485	0.261418
6.386	1.025447	0.202529
6.396	1.103982	0.210141
6.406	1.310234	0.228931
6.416	1.382032	0.235120
6.426	0.788309	0.177574
6.436	1.895568	0.275359
6.446	1.696394	0.260491
6.456	2.272841	0.301519
6.466	1.503613	0.245244
6.476	1.500359	0.244978
6.486	1.406377	0.237182
6.496	1.609343	0.253720
6.507	1.747977	0.264422
6.517	1.473080	0.242741
6.527	1.789611	0.267553
6.537	1.704726	0.261130
6.547	1.738376	0.263695
6.557	2.066167	0.287483
6.567	2.093081	0.289350
6.577	1.754961	0.264950
6.587	2.154964	0.293596
6.597	2.464288	0.313961
6.607	1.962604	0.280186
6.617	2.285634	0.302366
6.627	2.503484	0.316448
6.637	2.519195	0.317439
6.647	1.512684	0.245982
6.657	1.719113	0.262230
6.667	1.987441	0.281953
6.677	2.083612	0.288694
6.687	2.139268	0.292525
6.697	1.807005	0.268850
6.707	2.040930	0.285722
6.717	1.917452	0.276944
6.727	1.637243	0.255910
6.737	1.922130	0.277282
6.747	2.220353	0.298017
6.757	2.732086	0.330580
6.767	2.418769	0.311048
6.777	1.917286	0.276932
6.787	2.013122	0.283769
6.797	1.858469	0.272651
6.807	2.331671	0.305396
6.817	1.980743	0.281478
6.827	2.082290	0.288603
6.837	1.423174	0.238594
6.847	1.758262	0.265199
6.857	1.949149	0.279224
6.867	1.283563	0.226589
6.877	1.955354	0.279668
6.887	2.143563	0.292818
6.897	2.196871	0.296437
6.907	1.740907	0.263887
6.917	2.045885	0.286069
6.927	2.267272	0.301149
6.937	1.446453	0.240537
6.947	1.720611	0.262344
6.957	1.878580	0.274123
6.967	1.703429	0.261031
6.977	1.551916	0.249152
6.987	1.921054	0.277204
6.997	1.967191	0.280513
7.007	1.686819	0.259755
7.017	1.406737	0.237212
7.027	1.685197	0.259630
7.037	1.926746	0.277615
7.047	1.435764	0.239647
7.057	1.703628	0.261046
7.067	1.784441	0.267166
7.077	1.612637	0.253979
7.087	1.916463	0.276873
7.097	2.270318	0.301351
7.107	1.841599	0.271411
7.117	1.612993	0.254007
7.127	2.722160	0.329979
7.137	1.585589	0.251840
7.147	1.642364	0.256310
7.157	2.337123	0.305753
7.167	1.948252	0.279160
7.177	2.839049	0.336990
7.187	2.277572	0.301833
7.197	1.942451	0.278744
7.207	2.561432	0.320089
7.217	2.227384	0.298488
7.227	2.020877	0.284315
7.237	2.076196	0.288180
7.247	2.265548	0.301035
7.257	2.219841	0.297983
7.267	2.681539	0.327508
7.277	2.383041	0.308742
7.287	2.211986	0.297455
7.297	2.313738	0.304220
7.307	1.661610	0.257807
7.317	2.043676	0.285914
7.327	1.963780	0.280270
7.337	2.232148	0.298808
7.347	2.224676	0.298307
7.357	2.367577	0.307739
7.367	2.027369	0.284771
7.377	2.660201	0.326202
7.387	2.079527	0.288411
7.397	2.435878	0.312146
7.407	1.910927	0.276473
7.417	1.894514	0.275283
7.427	1.528696	0.247281
7.437	2.363991	0.307506
7.447	2.289672	0.302633
7.457	1.904366	0.275998
7.467	2.539243	0.318700
7.477	1.607372	0.253564
7.487	1.693809	0.260293
7.497	1.278518	0.226143
7.508	1.356964	0.232978
7.518	1.720952	0.262370
7.528	1.219979	0.220905
7.538	1.078908	0.207741
7.548	1.258454	0.224362
7.558	1.337176	0.231273
7.568	1.520148	0.246589
7.578	1.595549	0.252630
7.588	1.499300	0.244892
7.598	1.733987	0.263362
7.608	1.351265	0.232488
7.618	1.111775	0.210881
7.628	0.825837	0.181751
7.638	1.676931	0.258993
7.648	1.133397	0.212922
7.658	1.220557	0.220958
7.668	1.655481	0.257331
7.678	1.087531	0.208570
7.688	0.865183	0.186030
7.698	1.107612	0.210486
7.708	0.988546	0.198851
7.718	0.964664	0.196435
7.728	1.822120	0.269972
7.738	1.402115	0.236822
7.748	1.827028	0.270335
7.758	0.650929	0.161360
7.768	0.988979	0.198895
7.778	1.168928	0.216234
7.788	1.348507	0.232250
7.798	1.557577	0.249606
7.808	1.429485	0.239122
7.818	1.871879	0.273633
7.828	1.168884	0.216230
7.838	1.153889	0.214838
7.848	1.784358	0.267160
7.858	0.924233	0.192274
7.868	0.950992	0.195038
7.878	0.773961	0.175950
7.888	3.086150	0.351349
7.898	1.548277	0.248860
7.908	2.103188	0.290047
7.918	2.131065	0.291963
7.928	1.290073	0.227163
7.938	1.872176	0.273655
7.948	1.758869	0.265245
7.958	1.231712	0.221965
7.968	1.141819	0.213712
7.978	1.209638	0.219967
7.988	1.879164	0.274165
7.998	0.939726	0.193879
8.008	1.664221	0.258009
8.018	1.249992	0.223606
8.028	0.946476	0.194574
8.038	1.109640	0.210679
8.048	1.507862	0.245590
8.058	1.882377	0.274400
8.068	0.917583	0.191581
8.078	1.714606	0.261886
8.088	1.464174	0.242006
8.098	1.100963	0.209854
8.108	0.911557	0.190951
8.118	1.196379	0.218758
8.128	0.705050	0.167934
8.138	1.456240	0.241350
8.148	0.772606	0.175796
8.158	1.435298	0.239608
8.168	0.808696	0.179855
8.178	0.498756	0.141245
8.188	1.120596	0.211716
8.198	1.445634	0.240469
8.208	1.556428	0.249514
8.218	0.865858	0.186103
8.228	1.387335	0.235570
8.238	0.649206	0.161147
8.248	1.225728	0.221425
8.258	0.919573	0.191789
8.268	1.039135	0.203876
8.278	0.839489	0.183247
8.288	1.173735	0.216678
8.298	1.060335	0.205945
8.308	1.274168	0.225758
8.318	1.076898	0.207547
8.328	1.119113	0.211576
8.338	0.694583	0.166683
8.348	1.200519	0.219136
8.358	0.678983	0.164801
8.368	1.081398	0.207981
8.378	1.097988	0.209570
8.388	0.479896	0.138549
8.398	1.474295	0.242841
8.408	1.405973	0.237147
8.418	1.361675	0.233382
8.428	1.492577	0.244342
8.438	1.256578	0.224194
8.448	1.338055	0.231349
8.458	1.932049	0.277996
8.468	1.582110	0.251564
8.478	1.127861	0.212402
8.488	1.398996	0.236558
8.498	1.625948	0.255025
8.509	1.162742	0.215661
8.519	1.145873	0.214091
8.529	1.827066	0.270338
8.539	1.685263	0.259635
8.549	2.164386	0.294237
8.559	0.977631	0.197750
8.569	1.777702	0.266661
8.579	2.012348	0.283714
8.589	1.680181	0.259244
8.599	2.022360	0.284419
8.609	2.416846	0.310924
8.619	1.948555	0.279181
8.629	2.087121	0.288937
8.639	2.173127	0.294831
8.649	1.563785	0.250103
8.659	2.433068	0.311966
8.669	1.260783	0.224569
8.679	1.808947	0.268994
8.689	1.662262	0.257857
8.699	1.789071	0.267512
8.709	2.282967	0.302190
8.719	1.853307	0.272272
8.729	2.102603	0.290007
8.739	1.831741	0.270684
8.749	2.388748	0.309111
8.759	1.831692	0.270680
8.769	1.858855	0.272680
8.779	1.610144	0.253783
8.789	1.963480	0.280248
8.799	2.694622	0.328306
8.809	1.527959	0.247221
8.819	1.536916	0.247945
8.829	1.191880	0.218347
8.839	2.214005	0.297591
8.849	1.639757	0.256106
8.859	1.494821	0.244526
8.869	1.906345	0.276141
8.879	1.977599	0.281254
8.889	1.737211	0.263607
8.899	0.870152	0.186564
8.909	2.213173	0.297535
8.919	1.391042	0.235885
8.929	2.349222	0.306543
8.939	2.077728	0.288286
8.949	1.995892	0.282552
8.959	1.670563	0.258501
8.969	1.592841	0.252416
8.979	1.880305	0.274248
8.989	1.313683	0.229232
8.999	1.513928	0.246084
9.009	1.963408	0.280243
9.019	1.806734	0.268830
9.029	1.512144	0.245939
9.039	2.269149	0.301274
9.049	1.490521	0.244174
9.059	2.171461	0.294718
9.069	1.808761	0.268980
9.079	1.996272	0.282579
9.089	1.619499	0.254519
9.099	1.365834	0.233738
9.109	2.473405	0.314541
9.119	1.625861	0.255019
9.129	1.417093	0.238083
9.139	1.196963	0.218812
9.149	1.782693	0.267035
9.159	1.878956	0.274150
9.169	2.166432	0.294376
9.179	2.401861	0.309959
9.189	1.952106	0.279436
9.199	2.962412	0.344233
9.209	1.884928	0.274585
9.219	1.212353	0.220214
9.229	1.895154	0.275329
9.239	2.099453	0.289790
9.249	3.154702	0.355230
9.259	2.319027	0.304567
9.269	2.485899	0.315335
9.279	1.936286	0.278301
9.289	3.056122	0.349635
9.299	2.494761	0.315896
9.309	1.649509	0.256866
9.319	2.386252	0.308950
9.329	2.438908	0.312340
9.339	2.026096	0.284682
9.349	3.124934	0.353550
9.359	1.690731	0.260056
9.369	3.352065	0.366173
9.379	0.877484	0.187348
9.389	2.625540	0.324070
9.399	2.177337	0.295116
9.409	1.648432	0.256783
9.419	1.833312	0.270800
9.429	2.309394	0.303934
9.439	1.734140	0.263373
9.449	1.396683	0.236363
9.459	2.261397	0.300759
9.469	1.371289	0.234204
9.479	1.561950	0.249956
9.489	1.776447	0.266567
9.499	1.360467	0.233278
9.510	1.012846	0.201281
9.520	2.246353	0.299757
9.530	1.900388	0.275709
9.540	1.338788	0.231412
9.550	1.447487	0.240623
9.560	2.214035	0.297593
9.570	1.615490	0.254204
9.580	0.590212	0.153650
9.590	0.691216	0.166279
9.600	0.878888	0.187498
9.610	1.696866	0.260528
9.620	1.326265	0.230327
9.630	0.388940	0.124730
9.640	0.681524	0.165109
9.650	0.322953	0.113658
9.660	0.954437	0.195391
9.670	0.815716	0.180634
9.680	1.381736	0.235095
9.690	1.928955	0.277774
9.700	1.654302	0.257239
9.710	2.045530	0.286044
9.720	1.045750	0.204524
9.730	1.568221	0.250457
9.740	0.655437	0.161918
9.750	0.879020	0.187512
9.760	1.589450	0.252147
9.770	2.075822	0.288154
9.780	1.068224	0.206710
9.790	1.302109	0.228220
9.800	1.403590	0.236946
9.810	0.994060	0.199405
9.820	1.864906	0.273123
9.830	1.830876	0.270620
9.840	1.511077	0.245852
9.850	2.203355	0.296874
9.860	2.068359	0.287636
9.870	1.088795	0.208691
9.880	1.663854	0.257981
9.890	1.382222	0.235136
9.900	1.785942	0.267278
9.910	1.316500	0.229478
9.920	1.593143	0.252440
9.930	1.811149	0.269158
9.940	1.280721	0.226338
9.950	1.152844	0.214741
9.960	1.724416	0.262634
9.970	0.892863	0.188983
